Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 28-Apr-2026,Total applicable ELM%
1,360ONE,OTH,3.5,0,3.5
2,360ONE,OTM,5.25,0,5.25
3,ABB,OTH,3.5,0,3.5
4,ABB,OTM,5.25,0,5.25
5,ABCAPITAL,OTH,3.5,15,18.5
6,ABCAPITAL,OTM,5.25,15,20.25
7,ADANIENSOL,OTH,3.5,15,18.5
8,ADANIENSOL,OTM,5.25,15,20.25
9,ADANIENT,OTH,3.5,0,3.5
10,ADANIENT,OTM,5.25,0,5.25
11,ADANIGREEN,OTH,3.5,0,3.5
12,ADANIGREEN,OTM,5.25,0,5.25
13,ADANIPORTS,OTH,3.5,0,3.5
14,ADANIPORTS,OTM,5.25,0,5.25
15,ADANIPOWER,OTH,3.5,0,3.5
16,ADANIPOWER,OTM,5.25,0,5.25
17,ALKEM,OTH,3.5,0,3.5
18,ALKEM,OTM,5.25,0,5.25
19,AMBER,OTH,3.5,0,3.5
20,AMBER,OTM,5.25,0,5.25
21,AMBUJACEM,OTH,3.5,15,18.5
22,AMBUJACEM,OTM,5.25,15,20.25
23,ANGELONE,OTH,3.5,0,3.5
24,ANGELONE,OTM,5.25,0,5.25
25,APLAPOLLO,OTH,3.5,0,3.5
26,APLAPOLLO,OTM,5.25,0,5.25
27,APOLLOHOSP,OTH,3.5,0,3.5
28,APOLLOHOSP,OTM,5.25,0,5.25
29,ASHOKLEY,OTH,3.5,0,3.5
30,ASHOKLEY,OTM,5.25,0,5.25
31,ASIANPAINT,OTH,3.5,0,3.5
32,ASIANPAINT,OTM,5.25,0,5.25
33,ASTRAL,OTH,3.5,0,3.5
34,ASTRAL,OTM,5.25,0,5.25
35,AUBANK,OTH,3.5,0,3.5
36,AUBANK,OTM,5.25,0,5.25
37,AUROPHARMA,OTH,3.5,15,18.5
38,AUROPHARMA,OTM,5.25,15,20.25
39,AXISBANK,OTH,3.5,0,3.5
40,AXISBANK,OTM,5.25,0,5.25
41,BAJAJ-AUTO,OTH,3.5,0,3.5
42,BAJAJ-AUTO,OTM,5.25,0,5.25
43,BAJAJFINSV,OTH,3.5,0,3.5
44,BAJAJFINSV,OTM,5.25,0,5.25
45,BAJAJHLDNG,OTH,3.5,0,3.5
46,BAJAJHLDNG,OTM,5.25,0,5.25
47,BAJFINANCE,OTH,3.5,0,3.5
48,BAJFINANCE,OTM,5.25,0,5.25
49,BANDHANBNK,OTH,3.5,15,18.5
50,BANDHANBNK,OTM,5.25,15,20.25
51,BANKBARODA,OTH,3.5,0,3.5
52,BANKBARODA,OTM,5.25,0,5.25
53,BANKINDIA,OTH,3.5,0,3.5
54,BANKINDIA,OTM,5.25,0,5.25
55,BDL,OTH,3.5,0,3.5
56,BDL,OTM,5.25,0,5.25
57,BEL,OTH,3.5,0,3.5
58,BEL,OTM,5.25,0,5.25
59,BHARATFORG,OTH,3.5,0,3.5
60,BHARATFORG,OTM,5.25,0,5.25
61,BHARTIARTL,OTH,3.5,0,3.5
62,BHARTIARTL,OTM,5.25,0,5.25
63,BHEL,OTH,3.5,0,3.5
64,BHEL,OTM,5.25,0,5.25
65,BIOCON,OTH,3.5,0,3.5
66,BIOCON,OTM,5.25,0,5.25
67,BLUESTARCO,OTH,3.5,0,3.5
68,BLUESTARCO,OTM,5.25,0,5.25
69,BOSCHLTD,OTH,3.5,0,3.5
70,BOSCHLTD,OTM,5.25,0,5.25
71,BPCL,OTH,3.5,0,3.5
72,BPCL,OTM,5.25,0,5.25
73,BRITANNIA,OTH,3.5,0,3.5
74,BRITANNIA,OTM,5.25,0,5.25
75,BSE,OTH,3.5,0,3.5
76,BSE,OTM,5.25,0,5.25
77,CAMS,OTH,3.5,0,3.5
78,CAMS,OTM,5.25,0,5.25
79,CANBK,OTH,3.5,0,3.5
80,CANBK,OTM,5.25,0,5.25
81,CDSL,OTH,3.5,0,3.5
82,CDSL,OTM,5.25,0,5.25
83,CGPOWER,OTH,3.5,0,3.5
84,CGPOWER,OTM,5.25,0,5.25
85,CHOLAFIN,OTH,3.5,0,3.5
86,CHOLAFIN,OTM,5.25,0,5.25
87,CIPLA,OTH,3.5,0,3.5
88,CIPLA,OTM,5.25,0,5.25
89,COALINDIA,OTH,3.5,0,3.5
90,COALINDIA,OTM,5.25,0,5.25
91,COCHINSHIP,OTH,3.5,0,3.5
92,COCHINSHIP,OTM,5.25,0,5.25
93,COFORGE,OTH,3.5,0,3.5
94,COFORGE,OTM,5.25,0,5.25
95,COLPAL,OTH,3.5,0,3.5
96,COLPAL,OTM,5.25,0,5.25
97,CONCOR,OTH,3.5,15,18.5
98,CONCOR,OTM,5.25,15,20.25
99,CROMPTON,OTH,3.5,15,18.5
100,CROMPTON,OTM,5.25,15,20.25
101,CUMMINSIND,OTH,3.5,0,3.5
102,CUMMINSIND,OTM,5.25,0,5.25
103,DABUR,OTH,3.5,0,3.5
104,DABUR,OTM,5.25,0,5.25
105,DALBHARAT,OTH,3.5,0,3.5
106,DALBHARAT,OTM,5.25,0,5.25
107,DELHIVERY,OTH,3.5,0,3.5
108,DELHIVERY,OTM,5.25,0,5.25
109,DIVISLAB,OTH,3.5,0,3.5
110,DIVISLAB,OTM,5.25,0,5.25
111,DIXON,OTH,3.5,0,3.5
112,DIXON,OTM,5.25,0,5.25
113,DLF,OTH,3.5,15,18.5
114,DLF,OTM,5.25,15,20.25
115,DMART,OTH,3.5,0,3.5
116,DMART,OTM,5.25,0,5.25
117,DRREDDY,OTH,3.5,0,3.5
118,DRREDDY,OTM,5.25,0,5.25
119,EICHERMOT,OTH,3.5,0,3.5
120,EICHERMOT,OTM,5.25,0,5.25
121,ETERNAL,OTH,3.5,0,3.5
122,ETERNAL,OTM,5.25,0,5.25
123,EXIDEIND,OTH,3.5,0,3.5
124,EXIDEIND,OTM,5.25,0,5.25
125,FEDERALBNK,OTH,3.5,0,3.5
126,FEDERALBNK,OTM,5.25,0,5.25
127,FORCEMOT,OTH,3.5,0,3.5
128,FORCEMOT,OTM,5.25,0,5.25
129,FORTIS,OTH,3.5,0,3.5
130,FORTIS,OTM,5.25,0,5.25
131,GAIL,OTH,3.5,0,3.5
132,GAIL,OTM,5.25,0,5.25
133,GLENMARK,OTH,3.5,15,18.5
134,GLENMARK,OTM,5.25,15,20.25
135,GMRAIRPORT,OTH,3.5,0,3.5
136,GMRAIRPORT,OTM,5.25,0,5.25
137,GODFRYPHLP,OTH,3.5,0,3.5
138,GODFRYPHLP,OTM,5.25,0,5.25
139,GODREJCP,OTH,3.5,0,3.5
140,GODREJCP,OTM,5.25,0,5.25
141,GODREJPROP,OTH,3.5,0,3.5
142,GODREJPROP,OTM,5.25,0,5.25
143,GRASIM,OTH,3.5,0,3.5
144,GRASIM,OTM,5.25,0,5.25
145,HAL,OTH,3.5,0,3.5
146,HAL,OTM,5.25,0,5.25
147,HAVELLS,OTH,3.5,0,3.5
148,HAVELLS,OTM,5.25,0,5.25
149,HCLTECH,OTH,3.5,0,3.5
150,HCLTECH,OTM,5.25,0,5.25
151,HDFCAMC,OTH,3.5,0,3.5
152,HDFCAMC,OTM,5.25,0,5.25
153,HDFCBANK,OTH,3.5,0,3.5
154,HDFCBANK,OTM,5.25,0,5.25
155,HDFCLIFE,OTH,3.5,0,3.5
156,HDFCLIFE,OTM,5.25,0,5.25
157,HEROMOTOCO,OTH,3.5,0,3.5
158,HEROMOTOCO,OTM,5.25,0,5.25
159,HINDALCO,OTH,3.5,0,3.5
160,HINDALCO,OTM,5.25,0,5.25
161,HINDPETRO,OTH,3.5,0,3.5
162,HINDPETRO,OTM,5.25,0,5.25
163,HINDUNILVR,OTH,3.5,0,3.5
164,HINDUNILVR,OTM,5.25,0,5.25
165,HINDZINC,OTH,3.5,0,3.5
166,HINDZINC,OTM,5.25,0,5.25
167,HUDCO,OTH,3.5,0,3.5
168,HUDCO,OTM,5.25,0,5.25
169,HYUNDAI,OTH,3.5,0,3.5
170,HYUNDAI,OTM,5.25,0,5.25
171,ICICIBANK,OTH,3.5,0,3.5
172,ICICIBANK,OTM,5.25,0,5.25
173,ICICIGI,OTH,3.5,0,3.5
174,ICICIGI,OTM,5.25,0,5.25
175,ICICIPRULI,OTH,3.5,0,3.5
176,ICICIPRULI,OTM,5.25,0,5.25
177,IDEA,OTH,3.5,15,18.5
178,IDEA,OTM,5.25,15,20.25
179,IDFCFIRSTB,OTH,3.5,0,3.5
180,IDFCFIRSTB,OTM,5.25,0,5.25
181,IEX,OTH,3.5,0,3.5
182,IEX,OTM,5.25,0,5.25
183,INDHOTEL,OTH,3.5,0,3.5
184,INDHOTEL,OTM,5.25,0,5.25
185,INDIANB,OTH,3.5,0,3.5
186,INDIANB,OTM,5.25,0,5.25
187,INDIGO,OTH,3.5,0,3.5
188,INDIGO,OTM,5.25,0,5.25
189,INDUSINDBK,OTH,3.5,0,3.5
190,INDUSINDBK,OTM,5.25,0,5.25
191,INDUSTOWER,OTH,3.5,0,3.5
192,INDUSTOWER,OTM,5.25,0,5.25
193,INFY,OTH,3.5,0,3.5
194,INFY,OTM,5.25,0,5.25
195,INOXWIND,OTH,3.5,15,18.5
196,INOXWIND,OTM,5.25,15,20.25
197,IOC,OTH,3.5,0,3.5
198,IOC,OTM,5.25,0,5.25
199,IREDA,OTH,3.5,0,3.5
200,IREDA,OTM,5.25,0,5.25
201,IRFC,OTH,3.5,0,3.5
202,IRFC,OTM,5.25,0,5.25
203,ITC,OTH,3.5,0,3.5
204,ITC,OTM,5.25,0,5.25
205,JINDALSTEL,OTH,3.5,0,3.5
206,JINDALSTEL,OTM,5.25,0,5.25
207,JIOFIN,OTH,3.5,15,18.5
208,JIOFIN,OTM,5.25,15,20.25
209,JSWENERGY,OTH,3.5,15,18.5
210,JSWENERGY,OTM,5.25,15,20.25
211,JSWSTEEL,OTH,3.5,0,3.5
212,JSWSTEEL,OTM,5.25,0,5.25
213,JUBLFOOD,OTH,3.5,0,3.5
214,JUBLFOOD,OTM,5.25,0,5.25
215,KALYANKJIL,OTH,3.5,0,3.5
216,KALYANKJIL,OTM,5.25,0,5.25
217,KAYNES,OTH,3.5,0,3.5
218,KAYNES,OTM,5.25,0,5.25
219,KEI,OTH,3.5,0,3.5
220,KEI,OTM,5.25,0,5.25
221,KFINTECH,OTH,3.5,0,3.5
222,KFINTECH,OTM,5.25,0,5.25
223,KOTAKBANK,OTH,3.5,0,3.5
224,KOTAKBANK,OTM,5.25,0,5.25
225,KPITTECH,OTH,3.5,0,3.5
226,KPITTECH,OTM,5.25,0,5.25
227,LAURUSLABS,OTH,3.5,0,3.5
228,LAURUSLABS,OTM,5.25,0,5.25
229,LICHSGFIN,OTH,3.5,15,18.5
230,LICHSGFIN,OTM,5.25,15,20.25
231,LICI,OTH,3.5,0,3.5
232,LICI,OTM,5.25,0,5.25
233,LODHA,OTH,3.5,0,3.5
234,LODHA,OTM,5.25,0,5.25
235,LT,OTH,3.5,0,3.5
236,LT,OTM,5.25,0,5.25
237,LTF,OTH,3.5,0,3.5
238,LTF,OTM,5.25,0,5.25
239,LTM,OTH,3.5,0,3.5
240,LTM,OTM,5.25,0,5.25
241,LUPIN,OTH,3.5,0,3.5
242,LUPIN,OTM,5.25,0,5.25
243,M&M,OTH,3.5,0,3.5
244,M&M,OTM,5.25,0,5.25
245,MANAPPURAM,OTH,3.5,15,18.5
246,MANAPPURAM,OTM,5.25,15,20.25
247,MANKIND,OTH,3.5,0,3.5
248,MANKIND,OTM,5.25,0,5.25
249,MARICO,OTH,3.5,0,3.5
250,MARICO,OTM,5.25,0,5.25
251,MARUTI,OTH,3.5,0,3.5
252,MARUTI,OTM,5.25,0,5.25
253,MAXHEALTH,OTH,3.5,0,3.5
254,MAXHEALTH,OTM,5.25,0,5.25
255,MAZDOCK,OTH,3.5,0,3.5
256,MAZDOCK,OTM,5.25,0,5.25
257,MCX,OTH,3.5,0,3.5
258,MCX,OTM,5.25,0,5.25
259,MFSL,OTH,3.5,0,3.5
260,MFSL,OTM,5.25,0,5.25
261,MOTHERSON,OTH,3.5,0,3.5
262,MOTHERSON,OTM,5.25,0,5.25
263,MOTILALOFS,OTH,3.5,0,3.5
264,MOTILALOFS,OTM,5.25,0,5.25
265,MPHASIS,OTH,3.5,0,3.5
266,MPHASIS,OTM,5.25,0,5.25
267,MUTHOOTFIN,OTH,3.5,0,3.5
268,MUTHOOTFIN,OTM,5.25,0,5.25
269,NAM-INDIA,OTH,3.5,0,3.5
270,NAM-INDIA,OTM,5.25,0,5.25
271,NATIONALUM,OTH,3.5,0,3.5
272,NATIONALUM,OTM,5.25,0,5.25
273,NAUKRI,OTH,3.5,0,3.5
274,NAUKRI,OTM,5.25,0,5.25
275,NBCC,OTH,3.5,15,18.5
276,NBCC,OTM,5.25,15,20.25
277,NESTLEIND,OTH,3.5,0,3.5
278,NESTLEIND,OTM,5.25,0,5.25
279,NHPC,OTH,3.5,0,3.5
280,NHPC,OTM,5.25,0,5.25
281,NMDC,OTH,3.5,15,18.5
282,NMDC,OTM,5.25,15,20.25
283,NTPC,OTH,3.5,0,3.5
284,NTPC,OTM,5.25,0,5.25
285,NUVAMA,OTH,3.5,0,3.5
286,NUVAMA,OTM,5.25,0,5.25
287,NYKAA,OTH,3.5,0,3.5
288,NYKAA,OTM,5.25,0,5.25
289,OBEROIRLTY,OTH,3.5,0,3.5
290,OBEROIRLTY,OTM,5.25,0,5.25
291,OFSS,OTH,3.5,0,3.5
292,OFSS,OTM,5.25,0,5.25
293,OIL,OTH,3.5,0,3.5
294,OIL,OTM,5.25,0,5.25
295,ONGC,OTH,3.5,0,3.5
296,ONGC,OTM,5.25,0,5.25
297,PAGEIND,OTH,3.5,0,3.5
298,PAGEIND,OTM,5.25,0,5.25
299,PATANJALI,OTH,3.5,15,18.5
300,PATANJALI,OTM,5.25,15,20.25
301,PAYTM,OTH,3.5,0,3.5
302,PAYTM,OTM,5.25,0,5.25
303,PERSISTENT,OTH,3.5,0,3.5
304,PERSISTENT,OTM,5.25,0,5.25
305,PETRONET,OTH,3.5,0,3.5
306,PETRONET,OTM,5.25,0,5.25
307,PFC,OTH,3.5,0,3.5
308,PFC,OTM,5.25,0,5.25
309,PGEL,OTH,3.5,0,3.5
310,PGEL,OTM,5.25,0,5.25
311,PHOENIXLTD,OTH,3.5,0,3.5
312,PHOENIXLTD,OTM,5.25,0,5.25
313,PIDILITIND,OTH,3.5,0,3.5
314,PIDILITIND,OTM,5.25,0,5.25
315,PIIND,OTH,3.5,0,3.5
316,PIIND,OTM,5.25,0,5.25
317,PNB,OTH,3.5,0,3.5
318,PNB,OTM,5.25,0,5.25
319,PNBHOUSING,OTH,3.5,0,3.5
320,PNBHOUSING,OTM,5.25,0,5.25
321,POLICYBZR,OTH,3.5,0,3.5
322,POLICYBZR,OTM,5.25,0,5.25
323,POLYCAB,OTH,3.5,0,3.5
324,POLYCAB,OTM,5.25,0,5.25
325,POWERGRID,OTH,3.5,0,3.5
326,POWERGRID,OTM,5.25,0,5.25
327,POWERINDIA,OTH,3.5,0,3.5
328,POWERINDIA,OTM,5.25,0,5.25
329,PPLPHARMA,OTH,3.5,0,3.5
330,PPLPHARMA,OTM,5.25,0,5.25
331,PREMIERENE,OTH,3.5,0,3.5
332,PREMIERENE,OTM,5.25,0,5.25
333,PRESTIGE,OTH,3.5,0,3.5
334,PRESTIGE,OTM,5.25,0,5.25
335,RBLBANK,OTH,3.5,15,18.5
336,RBLBANK,OTM,5.25,15,20.25
337,RECLTD,OTH,3.5,0,3.5
338,RECLTD,OTM,5.25,0,5.25
339,RELIANCE,OTH,3.5,0,3.5
340,RELIANCE,OTM,5.25,0,5.25
341,RVNL,OTH,3.5,0,3.5
342,RVNL,OTM,5.25,0,5.25
343,SAIL,OTH,3.5,15,18.5
344,SAIL,OTM,5.25,15,20.25
345,SAMMAANCAP,OTH,3.5,15,18.5
346,SAMMAANCAP,OTM,5.25,15,20.25
347,SBICARD,OTH,3.5,0,3.5
348,SBICARD,OTM,5.25,0,5.25
349,SBILIFE,OTH,3.5,0,3.5
350,SBILIFE,OTM,5.25,0,5.25
351,SBIN,OTH,3.5,0,3.5
352,SBIN,OTM,5.25,0,5.25
353,SHREECEM,OTH,3.5,0,3.5
354,SHREECEM,OTM,5.25,0,5.25
355,SHRIRAMFIN,OTH,3.5,0,3.5
356,SHRIRAMFIN,OTM,5.25,0,5.25
357,SIEMENS,OTH,3.5,0,3.5
358,SIEMENS,OTM,5.25,0,5.25
359,SOLARINDS,OTH,3.5,0,3.5
360,SOLARINDS,OTM,5.25,0,5.25
361,SONACOMS,OTH,3.5,0,3.5
362,SONACOMS,OTM,5.25,0,5.25
363,SRF,OTH,3.5,0,3.5
364,SRF,OTM,5.25,0,5.25
365,SUNPHARMA,OTH,3.5,0,3.5
366,SUNPHARMA,OTM,5.25,0,5.25
367,SUPREMEIND,OTH,3.5,0,3.5
368,SUPREMEIND,OTM,5.25,0,5.25
369,SUZLON,OTH,3.5,0,3.5
370,SUZLON,OTM,5.25,0,5.25
371,SWIGGY,OTH,3.5,0,3.5
372,SWIGGY,OTM,5.25,0,5.25
373,TATACONSUM,OTH,3.5,0,3.5
374,TATACONSUM,OTM,5.25,0,5.25
375,TATAELXSI,OTH,3.5,0,3.5
376,TATAELXSI,OTM,5.25,0,5.25
377,TATAPOWER,OTH,3.5,0,3.5
378,TATAPOWER,OTM,5.25,0,5.25
379,TATASTEEL,OTH,3.5,0,3.5
380,TATASTEEL,OTM,5.25,0,5.25
381,TATATECH,OTH,3.5,0,3.5
382,TATATECH,OTM,5.25,0,5.25
383,TCS,OTH,3.5,0,3.5
384,TCS,OTM,5.25,0,5.25
385,TECHM,OTH,3.5,0,3.5
386,TECHM,OTM,5.25,0,5.25
387,TIINDIA,OTH,3.5,0,3.5
388,TIINDIA,OTM,5.25,0,5.25
389,TITAN,OTH,3.5,0,3.5
390,TITAN,OTM,5.25,0,5.25
391,TMPV,OTH,3.5,0,3.5
392,TMPV,OTM,5.25,0,5.25
393,TORNTPHARM,OTH,3.5,0,3.5
394,TORNTPHARM,OTM,5.25,0,5.25
395,TORNTPOWER,OTH,3.5,0,3.5
396,TORNTPOWER,OTM,5.25,0,5.25
397,TRENT,OTH,3.5,0,3.5
398,TRENT,OTM,5.25,0,5.25
399,TVSMOTOR,OTH,3.5,0,3.5
400,TVSMOTOR,OTM,5.25,0,5.25
401,ULTRACEMCO,OTH,3.5,0,3.5
402,ULTRACEMCO,OTM,5.25,0,5.25
403,UNIONBANK,OTH,3.5,0,3.5
404,UNIONBANK,OTM,5.25,0,5.25
405,UNITDSPR,OTH,3.5,0,3.5
406,UNITDSPR,OTM,5.25,0,5.25
407,UNOMINDA,OTH,3.5,0,3.5
408,UNOMINDA,OTM,5.25,0,5.25
409,UPL,OTH,3.5,0,3.5
410,UPL,OTM,5.25,0,5.25
411,VBL,OTH,3.5,0,3.5
412,VBL,OTM,5.25,0,5.25
413,VEDL,OTH,3.5,0,3.5
414,VEDL,OTM,5.25,0,5.25
415,VMM,OTH,3.5,0,3.5
416,VMM,OTM,5.25,0,5.25
417,VOLTAS,OTH,3.5,0,3.5
418,VOLTAS,OTM,5.25,0,5.25
419,WAAREEENER,OTH,3.5,0,3.5
420,WAAREEENER,OTM,5.25,0,5.25
421,WIPRO,OTH,3.5,0,3.5
422,WIPRO,OTM,5.25,0,5.25
423,YESBANK,OTH,3.5,0,3.5
424,YESBANK,OTM,5.25,0,5.25
425,ZYDUSLIFE,OTH,3.5,0,3.5
426,ZYDUSLIFE,OTM,5.25,0,5.25
